InvoiceID,Branch,City,ProductLine,TotalAmount,Avg_Sales,Deviation
746-04-1077,B,Mandalay,"Food and beverages",889,322.7184,1.75472362
450-42-3339,C,Naypyitaw,"Health and beauty",888,323.6184,1.74397253
677-11-0152,C,Naypyitaw,"Food and beverages",881,322.7184,1.72993421
735-32-9839,C,Naypyitaw,"Fashion accessories",829,305.0449,1.71763272
267-62-7380,C,Naypyitaw,"Electronic accessories",865,319.6353,1.70620923
861-77-0145,C,Naypyitaw,"Electronic accessories",861,319.6353,1.69369497
628-90-8624,B,Mandalay,"Health and beauty",867,323.6184,1.67908129
652-43-6591,A,Yangon,"Fashion accessories",817,305.0449,1.67829424
607-65-2441,C,Naypyitaw,"Health and beauty",860,323.6184,1.65745087
698-98-5964,A,Yangon,"Food and beverages",853,322.7184,1.64317126
805-86-0265,A,Yangon,"Home and lifestyle",888,336.6625,1.63765641
638-60-7125,A,Yangon,"Electronic accessories",836,319.6353,1.61548083
549-03-9315,B,Mandalay,"Fashion accessories",797,305.0449,1.61273013
533-33-5337,B,Mandalay,"Electronic accessories",834,319.6353,1.60922370
431-66-2305,B,Mandalay,"Electronic accessories",834,319.6353,1.60922370
457-94-0464,B,Mandalay,"Electronic accessories",830,319.6353,1.59670944
746-94-0204,A,Yangon,"Fashion accessories",787,305.0449,1.57994807
678-79-0726,C,Naypyitaw,"Sports and travel",856,332.0783,1.57770532
699-88-1972,B,Mandalay,"Health and beauty",833,323.6184,1.57401928
286-43-6208,C,Naypyitaw,"Food and beverages",830,322.7184,1.57190170
228-96-1411,C,Naypyitaw,"Food and beverages",829,322.7184,1.56880302
549-84-7482,B,Mandalay,"Sports and travel",853,332.0783,1.56867130
227-07-4446,C,Naypyitaw,"Electronic accessories",820,319.6353,1.56542378
829-49-1914,C,Naypyitaw,"Food and beverages",822,322.7184,1.54711228
373-09-4567,C,Naypyitaw,"Food and beverages",814,322.7184,1.52232287
842-40-8179,B,Mandalay,"Food and beverages",811,322.7184,1.51302684
138-17-5109,A,Yangon,"Home and lifestyle",843,336.6625,1.50399139
232-11-3025,A,Yangon,"Sports and travel",827,332.0783,1.49037652
640-48-5028,B,Mandalay,"Home and lifestyle",835,336.6625,1.48022872
605-72-4132,C,Naypyitaw,"Food and beverages",794,322.7184,1.46034933
418-02-5978,B,Mandalay,"Health and beauty",795,323.6184,1.45659703
537-72-0426,C,Naypyitaw,"Fashion accessories",745,305.0449,1.44226342
416-17-9926,A,Yangon,"Electronic accessories",779,319.6353,1.43715259
880-46-5796,A,Yangon,"Sports and travel",808,332.0783,1.43316109
189-98-2939,C,Naypyitaw,"Fashion accessories",742,305.0449,1.43242880
571-94-0759,B,Mandalay,"Food and beverages",783,322.7184,1.42626389
243-55-8457,A,Yangon,"Food and beverages",782,322.7184,1.42316521
602-16-6955,B,Mandalay,"Sports and travel",804,332.0783,1.42111574
135-84-8019,A,Yangon,"Fashion accessories",736,305.0449,1.41275956
884-80-6021,A,Yangon,"Electronic accessories",771,319.6353,1.41212407
197-77-7132,B,Mandalay,"Electronic accessories",769,319.6353,1.40586694
435-13-4908,A,Yangon,"Fashion accessories",728,305.0449,1.38653392
593-14-4239,B,Mandalay,"Home and lifestyle",802,336.6625,1.38220770
234-03-4040,B,Mandalay,"Food and beverages",767,322.7184,1.37668506
525-09-8450,B,Mandalay,"Electronic accessories",757,319.6353,1.36832415
898-04-2717,A,Yangon,"Fashion accessories",722,305.0449,1.36686468
448-61-3783,A,Yangon,"Electronic accessories",756,319.6353,1.36519558
305-14-0245,B,Mandalay,"Home and lifestyle",794,336.6625,1.35844503
587-03-7455,C,Naypyitaw,"Fashion accessories",719,305.0449,1.35703006
729-06-2010,B,Mandalay,"Health and beauty",760,323.6184,1.34844496
376-02-8238,B,Mandalay,"Home and lifestyle",789,336.6625,1.34359336
155-45-3814,C,Naypyitaw,"Electronic accessories",744,319.6353,1.32765280
635-40-6220,A,Yangon,"Health and beauty",753,323.6184,1.32681454
453-33-6436,A,Yangon,"Home and lifestyle",782,336.6625,1.32280102
829-34-3910,A,Yangon,"Health and beauty",749,323.6184,1.31445431
616-87-0016,B,Mandalay,"Fashion accessories",702,305.0449,1.30130056
183-21-3799,C,Naypyitaw,"Electronic accessories",734,319.6353,1.29636714
315-22-5665,C,Naypyitaw,"Home and lifestyle",772,336.6625,1.29309769
189-52-0236,A,Yangon,"Electronic accessories",732,319.6353,1.29011001
361-59-0574,B,Mandalay,"Sports and travel",760,332.0783,1.28861687
148-41-7930,C,Naypyitaw,"Health and beauty",735,323.6184,1.27119348
742-04-5161,A,Yangon,"Home and lifestyle",764,336.6625,1.26933502
237-01-6122,C,Naypyitaw,"Home and lifestyle",763,336.6625,1.26636468
710-46-4433,B,Mandalay,"Food and beverages",731,322.7184,1.26513270
399-46-5918,C,Naypyitaw,"Electronic accessories",722,319.6353,1.25882435
817-48-8732,A,Yangon,"Home and lifestyle",760,336.6625,1.25745368
457-13-1708,B,Mandalay,"Fashion accessories",685,305.0449,1.24557106
394-30-3170,B,Mandalay,"Sports and travel",743,332.0783,1.23742413
831-81-6575,B,Mandalay,"Electronic accessories",714,319.6353,1.23379583
725-96-3778,C,Naypyitaw,"Home and lifestyle",750,336.6625,1.22775034
338-65-2210,C,Naypyitaw,"Health and beauty",720,323.6184,1.22484259
149-71-6266,B,Mandalay,"Sports and travel",738,332.0783,1.22236744
850-41-9669,A,Yangon,"Electronic accessories",709,319.6353,1.21815300
803-17-8013,A,Yangon,"Home and lifestyle",746,336.6625,1.21586901
189-40-5216,C,Naypyitaw,"Electronic accessories",708,319.6353,1.21502444
174-64-0215,B,Mandalay,"Sports and travel",732,332.0783,1.20429941
443-59-0061,A,Yangon,"Food and beverages",708,322.7184,1.19386313
627-95-3243,B,Mandalay,"Home and lifestyle",734,336.6625,1.18022500
253-12-6086,A,Yangon,"Sports and travel",723,332.0783,1.17719737
489-82-1237,A,Yangon,"Electronic accessories",690,319.6353,1.15871026
188-55-0967,B,Mandalay,"Health and beauty",698,323.6184,1.15686129
189-55-2313,C,Naypyitaw,"Fashion accessories",653,305.0449,1.14066847
796-12-2025,C,Naypyitaw,"Fashion accessories",652,305.0449,1.13739027
845-94-6841,C,Naypyitaw,"Food and beverages",689,322.7184,1.13498827
538-22-0304,C,Naypyitaw,"Electronic accessories",682,319.6353,1.13368173
263-12-5321,A,Yangon,"Electronic accessories",681,319.6353,1.13055316
849-09-3807,A,Yangon,"Fashion accessories",649,305.0449,1.12755565
640-49-2076,B,Mandalay,"Sports and travel",704,332.0783,1.11998194
743-88-1662,C,Naypyitaw,"Sports and travel",702,332.0783,1.11395927
612-36-5536,A,Yangon,"Food and beverages",680,322.7184,1.10710018
222-42-0244,B,Mandalay,"Health and beauty",681,323.6184,1.10433029
287-21-9091,A,Yangon,"Home and lifestyle",706,336.6625,1.09705566
326-78-5178,C,Naypyitaw,"Food and beverages",672,322.7184,1.08231077
430-60-3493,A,Yangon,"Home and lifestyle",697,336.6625,1.07032265
670-79-6321,B,Mandalay,"Home and lifestyle",695,336.6625,1.06438198
868-06-0466,A,Yangon,"Electronic accessories",658,319.6353,1.05859616
379-17-6588,C,Naypyitaw,"Fashion accessories",626,305.0449,1.05215691
400-89-4171,C,Naypyitaw,"Sports and travel",680,332.0783,1.04770983
668-90-8900,A,Yangon,"Home and lifestyle",689,336.6625,1.04655998
125-45-2293,A,Yangon,"Fashion accessories",624,305.0449,1.04560050
651-88-7328,A,Yangon,"Fashion accessories",621,305.0449,1.03576588
149-61-1929,A,Yangon,"Sports and travel",674,332.0783,1.02964180
836-82-5858,B,Mandalay,"Health and beauty",656,323.6184,1.02707881
109-28-2512,B,Mandalay,"Fashion accessories",615,305.0449,1.01609665
347-72-6115,B,Mandalay,"Sports and travel",667,332.0783,1.00856244
452-04-8808,B,Mandalay,"Electronic accessories",640,319.6353,1.00228198
394-55-6384,C,Naypyitaw,"Sports and travel",663,332.0783,0.99651709
648-83-1321,A,Yangon,"Home and lifestyle",667,336.6625,0.98121264
672-51-8681,C,Naypyitaw,"Electronic accessories",630,319.6353,0.97099632
699-14-3026,C,Naypyitaw,"Electronic accessories",628,319.6353,0.96473919
339-96-8318,B,Mandalay,"Fashion accessories",598,305.0449,0.96036715
430-53-4718,B,Mandalay,"Health and beauty",633,323.6184,0.95600745
759-98-4285,C,Naypyitaw,"Health and beauty",631,323.6184,0.94982733
667-92-0055,A,Yangon,"Health and beauty",629,323.6184,0.94364721
725-54-0677,C,Naypyitaw,"Health and beauty",629,323.6184,0.94364721
477-24-6490,B,Mandalay,"Health and beauty",628,323.6184,0.94055715
870-72-4431,C,Naypyitaw,"Health and beauty",625,323.6184,0.93128697
137-63-5492,C,Naypyitaw,"Electronic accessories",617,319.6353,0.93032497
588-47-8641,A,Yangon,"Fashion accessories",588,305.0449,0.92758509
241-11-2261,B,Mandalay,"Fashion accessories",587,305.0449,0.92430688
828-46-6863,A,Yangon,"Food and beverages",621,322.7184,0.92427826
632-32-4574,B,Mandalay,"Sports and travel",638,332.0783,0.92123364
648-94-3045,C,Naypyitaw,"Health and beauty",619,323.6184,0.91274662
373-73-7910,A,Yangon,"Sports and travel",634,332.0783,0.90918828
886-77-9084,C,Naypyitaw,"Electronic accessories",604,319.6353,0.88965361
131-15-8856,C,Naypyitaw,"Food and beverages",609,322.7184,0.88709414
731-59-7531,B,Mandalay,"Health and beauty",610,323.6184,0.88493609
305-18-3552,B,Mandalay,"Home and lifestyle",634,336.6625,0.88319162
152-08-9985,B,Mandalay,"Health and beauty",608,323.6184,0.87875597
641-62-7288,B,Mandalay,"Home and lifestyle",629,336.6625,0.86833995
314-23-4520,C,Naypyitaw,"Health and beauty",597,323.6184,0.84476532
887-42-0517,C,Naypyitaw,"Sports and travel",611,332.0783,0.83992751
730-50-9884,C,Naypyitaw,"Sports and travel",610,332.0783,0.83691617
660-29-7083,C,Naypyitaw,"Electronic accessories",587,319.6353,0.83646800
575-30-8091,A,Yangon,"Sports and travel",609,332.0783,0.83390484
406-46-7107,A,Yangon,"Home and lifestyle",608,336.6625,0.80596295
272-65-1806,A,Yangon,"Electronic accessories",575,319.6353,0.79892521
262-47-2794,B,Mandalay,"Home and lifestyle",604,336.6625,0.79408161
433-08-7822,C,Naypyitaw,"Health and beauty",580,323.6184,0.79223431
466-61-5506,B,Mandalay,"Electronic accessories",571,319.6353,0.78641095
663-86-9076,C,Naypyitaw,"Food and beverages",576,322.7184,0.78483780
299-46-1805,B,Mandalay,"Sports and travel",590,332.0783,0.77668941
386-27-7606,C,Naypyitaw,"Home and lifestyle",597,336.6625,0.77328927
423-57-2993,B,Mandalay,"Sports and travel",588,332.0783,0.77066674
827-44-5872,B,Mandalay,"Food and beverages",571,322.7184,0.76934442
196-01-2849,C,Naypyitaw,"Fashion accessories",539,305.0449,0.76695300
862-59-8517,C,Naypyitaw,"Food and beverages",569,322.7184,0.76314707
410-67-1709,A,Yangon,"Fashion accessories",537,305.0449,0.76039658
227-78-1148,B,Mandalay,"Fashion accessories",535,305.0449,0.75384017
802-70-5316,A,Yangon,"Sports and travel",580,332.0783,0.74657603
136-08-6195,A,Yangon,"Home and lifestyle",588,336.6625,0.74655627
873-95-4984,B,Mandalay,"Health and beauty",565,323.6184,0.74588342
438-23-1242,B,Mandalay,"Electronic accessories",558,319.6353,0.74573960
541-48-8554,A,Yangon,"Sports and travel",576,332.0783,0.73453068
866-70-2814,B,Mandalay,"Electronic accessories",554,319.6353,0.73322534
878-30-2331,C,Naypyitaw,"Sports and travel",573,332.0783,0.72549667
590-83-4591,B,Mandalay,"Electronic accessories",551,319.6353,0.72383964
857-16-3520,A,Yangon,"Fashion accessories",525,305.0449,0.72105811
541-08-3113,C,Naypyitaw,"Food and beverages",554,322.7184,0.71666691
404-91-5964,A,Yangon,"Electronic accessories",548,319.6353,0.71445394
358-88-9262,C,Naypyitaw,"Food and beverages",551,322.7184,0.70737088
210-57-1719,B,Mandalay,"Health and beauty",550,323.6184,0.69953254
750-67-8428,A,Yangon,"Health and beauty",549,323.6184,0.69644248
166-19-2553,A,Yangon,"Sports and travel",561,332.0783,0.68936061
157-13-5295,A,Yangon,"Health and beauty",545,323.6184,0.68408224
582-52-8065,B,Mandalay,"Fashion accessories",513,305.0449,0.68171964
394-41-0748,C,Naypyitaw,"Fashion accessories",511,305.0449,0.67516323
667-23-5919,A,Yangon,"Fashion accessories",508,305.0449,0.66532861
785-13-7708,B,Mandalay,"Food and beverages",537,322.7184,0.66398941
626-43-7888,C,Naypyitaw,"Fashion accessories",507,305.0449,0.66205041
411-77-0180,A,Yangon,"Electronic accessories",531,319.6353,0.66126833
370-41-7321,B,Mandalay,"Health and beauty",536,323.6184,0.65627171
308-47-4913,A,Yangon,"Sports and travel",549,332.0783,0.65322456
862-17-9201,B,Mandalay,"Food and beverages",530,322.7184,0.64229867
241-72-9525,B,Mandalay,"Sports and travel",545,332.0783,0.64117920
408-26-9866,C,Naypyitaw,"Sports and travel",544,332.0783,0.63816787
186-79-9562,B,Mandalay,"Health and beauty",528,323.6184,0.63155123
645-44-1170,A,Yangon,"Home and lifestyle",549,336.6625,0.63071325
154-87-7367,C,Naypyitaw,"Home and lifestyle",548,336.6625,0.62774292
815-11-1168,A,Yangon,"Food and beverages",524,322.7184,0.62370661
474-33-8305,C,Naypyitaw,"Fashion accessories",495,305.0449,0.62271194
868-52-7573,B,Mandalay,"Food and beverages",523,322.7184,0.62060794
871-79-8483,B,Mandalay,"Fashion accessories",494,305.0449,0.61943373
552-44-5977,B,Mandalay,"Health and beauty",521,323.6184,0.60992082
534-01-4457,A,Yangon,"Food and beverages",515,322.7184,0.59581852
336-78-2147,C,Naypyitaw,"Home and lifestyle",537,336.6625,0.59506925
607-76-6216,C,Naypyitaw,"Fashion accessories",486,305.0449,0.59320808
721-86-6247,A,Yangon,"Home and lifestyle",533,336.6625,0.58318791
483-71-1164,C,Naypyitaw,"Health and beauty",512,323.6184,0.58211029
689-05-1884,A,Yangon,"Health and beauty",511,323.6184,0.57902023
416-13-5917,C,Naypyitaw,"Food and beverages",509,322.7184,0.57722646
786-94-2700,A,Yangon,"Food and beverages",508,322.7184,0.57412778
767-05-1286,C,Naypyitaw,"Home and lifestyle",528,336.6625,0.56833624
656-95-9349,A,Yangon,"Health and beauty",507,323.6184,0.56665999
347-34-2234,B,Mandalay,"Sports and travel",520,332.0783,0.56589575
718-57-9773,C,Naypyitaw,"Sports and travel",518,332.0783,0.55987308
160-22-2687,A,Yangon,"Health and beauty",504,323.6184,0.55738981
451-28-5717,C,Naypyitaw,"Home and lifestyle",524,336.6625,0.55645491
268-27-6179,B,Mandalay,"Fashion accessories",474,305.0449,0.55386961
733-01-9107,B,Mandalay,"Home and lifestyle",521,336.6625,0.54754391
130-98-8941,C,Naypyitaw,"Fashion accessories",472,305.0449,0.54731320
372-62-5264,C,Naypyitaw,"Food and beverages",497,322.7184,0.54004234
105-31-1824,A,Yangon,"Sports and travel",511,332.0783,0.53879371
325-90-8763,C,Naypyitaw,"Electronic accessories",489,319.6353,0.52986857
624-01-8356,B,Mandalay,"Home and lifestyle",515,336.6625,0.52972190
114-35-5271,B,Mandalay,"Electronic accessories",486,319.6353,0.52048288
263-10-3913,C,Naypyitaw,"Fashion accessories",463,305.0449,0.51780935
759-29-9521,A,Yangon,"Fashion accessories",463,305.0449,0.51780935
532-59-7201,B,Mandalay,"Sports and travel",504,332.0783,0.51771435
122-61-9553,C,Naypyitaw,"Electronic accessories",485,319.6353,0.51735431
123-19-1176,A,Yangon,"Health and beauty",489,323.6184,0.51103893
201-63-8275,C,Naypyitaw,"Sports and travel",500,332.0783,0.50566899
782-95-9291,A,Yangon,"Food and beverages",485,322.7184,0.50285822
199-75-8169,A,Yangon,"Sports and travel",166,332.0783,-0.50011789
856-66-2701,A,Yangon,"Home and lifestyle",168,336.6625,-0.50098392
198-66-9832,B,Mandalay,"Fashion accessories",151,305.0449,-0.50499090
287-83-1405,A,Yangon,"Health and beauty",160,323.6184,-0.50559054
867-47-1948,C,Naypyitaw,"Home and lifestyle",166,336.6625,-0.50692459
851-28-6367,A,Yangon,"Sports and travel",163,332.0783,-0.50915191
583-72-1480,C,Naypyitaw,"Electronic accessories",156,319.6353,-0.51194377
873-51-0671,A,Yangon,"Sports and travel",162,332.0783,-0.51216325
729-09-9681,A,Yangon,"Home and lifestyle",163,336.6625,-0.51583559
701-23-5550,B,Mandalay,"Home and lifestyle",163,336.6625,-0.51583559
423-80-0988,C,Naypyitaw,"Sports and travel",160,332.0783,-0.51818592
340-66-0321,A,Yangon,"Electronic accessories",153,319.6353,-0.52132947
181-94-6432,C,Naypyitaw,"Fashion accessories",146,305.0449,-0.52138193
236-27-1144,C,Naypyitaw,"Food and beverages",154,322.7184,-0.52280378
286-75-7818,B,Mandalay,"Fashion accessories",145,305.0449,-0.52466014
510-95-6347,B,Mandalay,"Food and beverages",153,322.7184,-0.52590246
378-07-7001,B,Mandalay,"Electronic accessories",151,319.6353,-0.52758660
453-12-7053,C,Naypyitaw,"Fashion accessories",144,305.0449,-0.52793835
355-34-6244,B,Mandalay,"Food and beverages",152,322.7184,-0.52900114
120-54-2248,B,Mandalay,"Food and beverages",152,322.7184,-0.52900114
633-09-3463,C,Naypyitaw,"Electronic accessories",150,319.6353,-0.53071516
788-21-5741,A,Yangon,"Fashion accessories",143,305.0449,-0.53121655
527-09-6272,A,Yangon,"Electronic accessories",149,319.6353,-0.53384373
715-20-1673,B,Mandalay,"Electronic accessories",149,319.6353,-0.53384373
459-50-7686,A,Yangon,"Electronic accessories",148,319.6353,-0.53697229
387-49-4215,B,Mandalay,"Sports and travel",153,332.0783,-0.53926529
173-57-2300,C,Naypyitaw,"Sports and travel",153,332.0783,-0.53926529
613-59-9758,C,Naypyitaw,"Sports and travel",151,332.0783,-0.54528796
423-64-4619,A,Yangon,"Health and beauty",147,323.6184,-0.54576130
373-14-0504,A,Yangon,"Sports and travel",150,332.0783,-0.54829930
207-73-1363,B,Mandalay,"Health and beauty",146,323.6184,-0.54885136
595-94-9924,A,Yangon,"Health and beauty",146,323.6184,-0.54885136
734-91-1155,B,Mandalay,"Electronic accessories",144,319.6353,-0.54948656
110-48-7033,B,Mandalay,"Fashion accessories",137,305.0449,-0.55088579
134-75-2619,A,Yangon,"Electronic accessories",142,319.6353,-0.55574369
585-86-8361,A,Yangon,"Food and beverages",143,322.7184,-0.55688923
816-72-8853,A,Yangon,"Sports and travel",147,332.0783,-0.55733332
808-65-0703,C,Naypyitaw,"Home and lifestyle",149,336.6625,-0.55742027
892-05-6689,A,Yangon,"Home and lifestyle",149,336.6625,-0.55742027
695-51-0018,B,Mandalay,"Sports and travel",146,332.0783,-0.56034465
656-16-1063,B,Mandalay,"Sports and travel",146,332.0783,-0.56034465
334-64-2006,A,Yangon,"Home and lifestyle",148,336.6625,-0.56039060
400-45-1220,B,Mandalay,"Health and beauty",142,323.6184,-0.56121160
399-69-4630,C,Naypyitaw,"Electronic accessories",140,319.6353,-0.56200082
510-79-0415,B,Mandalay,"Sports and travel",145,332.0783,-0.56335599
751-15-6198,B,Mandalay,"Sports and travel",145,332.0783,-0.56335599
744-09-5786,B,Mandalay,"Electronic accessories",139,319.6353,-0.56512938
620-02-2046,C,Naypyitaw,"Home and lifestyle",146,336.6625,-0.56633127
700-81-1757,A,Yangon,"Electronic accessories",138,319.6353,-0.56825795
760-27-5490,C,Naypyitaw,"Fashion accessories",131,305.0449,-0.57055502
200-16-5952,C,Naypyitaw,"Food and beverages",138,322.7184,-0.57238261
760-53-9233,A,Yangon,"Fashion accessories",130,305.0449,-0.57383323
150-89-8043,A,Yangon,"Sports and travel",141,332.0783,-0.57540134
151-16-1484,A,Yangon,"Electronic accessories",135,319.6353,-0.57764365
301-11-9629,A,Yangon,"Sports and travel",140,332.0783,-0.57841268
261-12-8671,B,Mandalay,"Fashion accessories",128,305.0449,-0.58038964
556-97-7101,C,Naypyitaw,"Electronic accessories",133,319.6353,-0.58390078
596-42-3999,B,Mandalay,"Food and beverages",134,322.7184,-0.58477732
339-38-9982,B,Mandalay,"Fashion accessories",126,305.0449,-0.58694605
776-68-1096,B,Mandalay,"Home and lifestyle",139,336.6625,-0.58712360
592-34-6155,C,Naypyitaw,"Food and beverages",133,322.7184,-0.58787599
372-26-1506,C,Naypyitaw,"Fashion accessories",125,305.0449,-0.59022426
767-97-4650,B,Mandalay,"Sports and travel",136,332.0783,-0.59045803
133-14-7229,C,Naypyitaw,"Health and beauty",132,323.6184,-0.59211219
101-81-4070,C,Naypyitaw,"Health and beauty",132,323.6184,-0.59211219
322-02-2271,B,Mandalay,"Sports and travel",135,332.0783,-0.59346937
268-20-3585,C,Naypyitaw,"Health and beauty",131,323.6184,-0.59520225
746-54-5508,A,Yangon,"Home and lifestyle",136,336.6625,-0.59603460
102-06-2002,C,Naypyitaw,"Sports and travel",133,332.0783,-0.59949205
830-58-2383,B,Mandalay,"Home and lifestyle",133,336.6625,-0.60494561
396-90-2219,B,Mandalay,"Electronic accessories",126,319.6353,-0.60580074
560-30-5617,B,Mandalay,"Sports and travel",130,332.0783,-0.60852606
448-81-5016,A,Yangon,"Health and beauty",126,323.6184,-0.61065255
503-21-4385,B,Mandalay,"Health and beauty",126,323.6184,-0.61065255
816-57-2053,A,Yangon,"Sports and travel",128,332.0783,-0.61454874
745-74-0715,A,Yangon,"Electronic accessories",122,319.6353,-0.61831500
760-54-1821,B,Mandalay,"Home and lifestyle",128,336.6625,-0.61979727
842-29-4695,C,Naypyitaw,"Sports and travel",126,332.0783,-0.62057141
727-75-6477,C,Naypyitaw,"Electronic accessories",121,319.6353,-0.62144356
266-76-6436,C,Naypyitaw,"Food and beverages",122,322.7184,-0.62196144
349-97-8902,B,Mandalay,"Food and beverages",122,322.7184,-0.62196144
148-82-2527,C,Naypyitaw,"Home and lifestyle",127,336.6625,-0.62276761
291-32-1427,B,Mandalay,"Fashion accessories",115,305.0449,-0.62300632
545-07-8534,C,Naypyitaw,"Health and beauty",122,323.6184,-0.62301278
669-54-1719,B,Mandalay,"Electronic accessories",119,319.6353,-0.62770070
848-07-1692,B,Mandalay,"Health and beauty",120,323.6184,-0.62919290
243-47-2663,C,Naypyitaw,"Electronic accessories",118,319.6353,-0.63082926
794-32-2436,B,Mandalay,"Electronic accessories",117,319.6353,-0.63395783
583-41-4548,C,Naypyitaw,"Home and lifestyle",123,336.6625,-0.63464894
606-80-4905,C,Naypyitaw,"Sports and travel",121,332.0783,-0.63562810
821-14-9046,B,Mandalay,"Fashion accessories",110,305.0449,-0.63939735
642-32-2990,A,Yangon,"Food and beverages",115,322.7184,-0.64365217
748-45-2862,A,Yangon,"Home and lifestyle",119,336.6625,-0.64653028
554-53-8700,C,Naypyitaw,"Home and lifestyle",118,336.6625,-0.64950061
356-44-8813,B,Mandalay,"Home and lifestyle",118,336.6625,-0.64950061
487-79-6868,B,Mandalay,"Home and lifestyle",116,336.6625,-0.65544128
883-69-1285,B,Mandalay,"Fashion accessories",105,305.0449,-0.65578838
182-52-7000,A,Yangon,"Sports and travel",114,332.0783,-0.65670747
132-23-6451,A,Yangon,"Health and beauty",110,323.6184,-0.66009349
529-56-3974,B,Mandalay,"Electronic accessories",107,319.6353,-0.66524348
137-74-8729,C,Naypyitaw,"Fashion accessories",102,305.0449,-0.66562300
378-24-2715,B,Mandalay,"Home and lifestyle",112,336.6625,-0.66732262
756-01-7507,C,Naypyitaw,"Health and beauty",107,323.6184,-0.66936367
176-78-1170,C,Naypyitaw,"Health and beauty",107,323.6184,-0.66936367
250-81-7186,C,Naypyitaw,"Electronic accessories",105,319.6353,-0.67150061
233-34-0817,C,Naypyitaw,"Electronic accessories",104,319.6353,-0.67462918
214-17-6927,C,Naypyitaw,"Food and beverages",104,322.7184,-0.67773762
634-97-8956,A,Yangon,"Food and beverages",104,322.7184,-0.67773762
594-34-4444,A,Yangon,"Electronic accessories",102,319.6353,-0.68088631
761-49-0439,B,Mandalay,"Electronic accessories",102,319.6353,-0.68088631
256-58-3609,C,Naypyitaw,"Fashion accessories",97,305.0449,-0.68201402
641-43-2399,B,Mandalay,"Home and lifestyle",107,336.6625,-0.68217428
152-03-4217,B,Mandalay,"Home and lifestyle",107,336.6625,-0.68217428
176-64-7711,B,Mandalay,"Food and beverages",102,322.7184,-0.68393497
573-58-9734,B,Mandalay,"Fashion accessories",96,305.0449,-0.68529223
598-06-7312,B,Mandalay,"Fashion accessories",96,305.0449,-0.68529223
674-56-6360,A,Yangon,"Electronic accessories",100,319.6353,-0.68714344
268-03-6164,B,Mandalay,"Health and beauty",101,323.6184,-0.68790403
401-18-8016,B,Mandalay,"Sports and travel",103,332.0783,-0.68983219
182-69-8360,B,Mandalay,"Electronic accessories",99,319.6353,-0.69027201
478-06-7835,A,Yangon,"Fashion accessories",94,305.0449,-0.69184864
604-70-6476,A,Yangon,"Fashion accessories",94,305.0449,-0.69184864
247-11-2470,A,Yangon,"Fashion accessories",94,305.0449,-0.69184864
210-30-7976,B,Mandalay,"Fashion accessories",94,305.0449,-0.69184864
702-72-0487,A,Yangon,"Electronic accessories",98,319.6353,-0.69340057
643-38-7867,A,Yangon,"Home and lifestyle",103,336.6625,-0.69405562
241-96-5076,B,Mandalay,"Home and lifestyle",103,336.6625,-0.69405562
181-82-6255,B,Mandalay,"Home and lifestyle",103,336.6625,-0.69405562
434-35-9162,B,Mandalay,"Food and beverages",98,322.7184,-0.69632968
343-75-9322,B,Mandalay,"Sports and travel",100,332.0783,-0.69886620
