InvoiceID,Spending_Segment
573-58-9734,Low
372-94-8041,Low
436-54-4512,Low
598-06-7312,Low
528-14-9470,Low
460-35-4390,Low
359-94-5395,Low
256-58-3609,Low
434-35-9162,Low
875-31-8302,Low
702-72-0487,Low
737-88-5876,Low
182-69-8360,Low
290-68-2984,Low
602-80-9671,Low
674-56-6360,Low
186-43-8965,Low
343-75-9322,Low
268-03-6164,Low
594-34-4444,Low
176-64-7711,Low
761-49-0439,Low
137-74-8729,Low
401-18-8016,Low
643-38-7867,Low
241-96-5076,Low
181-82-6255,Low
214-17-6927,Low
634-97-8956,Low
233-34-0817,Low
250-81-7186,Low
883-69-1285,Low
529-56-3974,Low
756-01-7507,Low
641-43-2399,Low
152-03-4217,Low
176-78-1170,Low
132-23-6451,Low
821-14-9046,Low
378-24-2715,Low
182-52-7000,Low
291-32-1427,Low
642-32-2990,Low
487-79-6868,Low
794-32-2436,Low
554-53-8700,Low
243-47-2663,Low
356-44-8813,Low
669-54-1719,Low
748-45-2862,Low
848-07-1692,Low
606-80-4905,Low
727-75-6477,Low
266-76-6436,Low
349-97-8902,Low
545-07-8534,Low
745-74-0715,Low
583-41-4548,Low
372-26-1506,Low
448-81-5016,Low
396-90-2219,Low
339-38-9982,Low
842-29-4695,Low
503-21-4385,Low
148-82-2527,Low
261-12-8671,Low
760-54-1821,Low
816-57-2053,Low
560-30-5617,Low
760-53-9233,Low
760-27-5490,Low
268-20-3585,Low
133-14-7229,Low
101-81-4070,Low
556-97-7101,Low
592-34-6155,Low
830-58-2383,Low
102-06-2002,Low
596-42-3999,Low
151-16-1484,Low
322-02-2271,Low
746-54-5508,Low
767-97-4650,Low
110-48-7033,Low
700-81-1757,Low
200-16-5952,Low
744-09-5786,Low
776-68-1096,Low
301-11-9629,Low
399-69-4630,Low
150-89-8043,Low
400-45-1220,Low
134-75-2619,Low
788-21-5741,Low
585-86-8361,Low
453-12-7053,Low
734-91-1155,Low
286-75-7818,Low
510-79-0415,Low
751-15-6198,Low
695-51-0018,Low
656-16-1063,Low
181-94-6432,Low
620-02-2046,Low
207-73-1363,Low
595-94-9924,Low
423-64-4619,Low
816-72-8853,Low
459-50-7686,Low
334-64-2006,Low
808-65-0703,Low
527-09-6272,Low
892-05-6689,Low
715-20-1673,Low
633-09-3463,Low
373-14-0504,Low
378-07-7001,Low
613-59-9758,Low
198-66-9832,Low
355-34-6244,Low
120-54-2248,Low
510-95-6347,Low
340-66-0321,Low
387-49-4215,Low
173-57-2300,Low
437-58-8131,Low
236-27-1144,Low
767-54-1907,Low
583-72-1480,Low
795-49-7276,Low
423-80-0988,Low
287-83-1405,Low
655-85-5130,Low
480-63-2856,Low
873-51-0671,Low
851-28-6367,Low
729-09-9681,Low
701-23-5550,Low
152-68-2907,Medium
497-36-0989,Medium
139-52-2867,Medium
286-62-6248,Medium
278-86-2735,Medium
665-63-9737,Medium
199-75-8169,Medium
865-92-6136,Medium
414-12-7047,Medium
135-13-8269,Medium
867-47-1948,Medium
877-22-3308,Medium
186-71-5196,Medium
340-21-9136,Medium
856-66-2701,Medium
518-71-6847,Medium
870-54-3162,Medium
289-65-5721,Medium
329-62-1586,Medium
628-34-3388,Medium
831-07-6050,Medium
848-42-2560,Medium
692-92-5582,Medium
272-27-9238,Medium
699-01-4164,Medium
733-33-4967,Medium
485-30-8700,Medium
442-44-6497,Medium
548-48-3156,Medium
756-93-1854,Medium
589-02-8023,Medium
242-11-3142,Medium
635-28-5728,Medium
770-42-8960,Medium
859-97-6048,Medium
788-07-8452,Medium
747-58-7183,Medium
636-48-8204,Medium
790-29-1172,Medium
834-45-5519,Medium
214-30-2776,Medium
744-82-9138,Medium
346-12-3257,Medium
779-42-2410,Medium
873-14-6353,Medium
746-68-6593,Medium
706-36-6154,Medium
807-14-7833,Medium
629-42-4133,Medium
189-17-4241,Medium
271-77-8740,Medium
690-01-6631,Medium
787-15-1757,Medium
745-71-3520,Medium
175-54-2529,Medium
258-92-7466,Medium
418-05-0656,Medium
373-88-1424,Medium
727-46-3608,Medium
381-20-0914,Medium
585-03-5943,Medium
704-10-4056,Medium
531-80-1784,Medium
750-57-9686,Medium
120-06-4233,Medium
201-86-2184,Medium
258-69-7810,Medium
509-10-0516,Medium
651-61-0874,Medium
732-04-5373,Medium
674-15-9296,Medium
339-18-7061,Medium
645-78-8093,Medium
142-72-4741,Medium
282-35-2475,Medium
642-61-4706,Medium
618-34-8551,Medium
250-17-5703,Medium
565-80-5980,Medium
375-72-3056,Medium
565-17-3836,Medium
288-62-1085,Medium
595-11-5460,Medium
254-31-0042,Medium
726-29-6793,Medium
126-54-1082,Medium
174-75-0888,Medium
518-17-2983,Medium
558-80-4082,Medium
502-05-1910,Medium
510-09-5628,Medium
521-18-7827,Medium
714-02-3114,Medium
409-33-9708,Medium
868-81-1752,Medium
438-01-4015,Medium
514-37-2845,Medium
191-29-0321,Medium
174-36-3675,Medium
831-64-0259,Medium
544-32-5024,Medium
446-47-6729,Medium
471-41-2823,Medium
437-53-3084,Medium
305-03-2383,Medium
257-60-7754,Medium
639-76-1242,Medium
608-04-3797,Medium
610-46-4100,Medium
301-81-8610,Medium
345-08-4992,Medium
439-54-7422,Medium
730-61-8757,Medium
662-72-2873,Medium
276-75-6884,Medium
354-39-5160,Medium
649-11-3678,Medium
127-47-6963,Medium
291-55-6563,Medium
777-67-2495,Medium
551-21-3069,Medium
749-24-1565,Medium
891-58-8335,Medium
704-20-4138,Medium
366-43-6862,Medium
457-12-0244,Medium
365-16-4334,Medium
716-39-1409,Medium
226-71-3580,Medium
717-96-4189,Medium
209-61-0206,Medium
544-55-9589,Medium
695-28-6250,Medium
420-97-3340,Medium
218-59-9410,Medium
526-86-8552,Medium
576-31-4774,Medium
755-12-3214,Medium
554-53-3790,Medium
156-95-3964,Medium
787-87-2010,Medium
162-48-8011,Medium
447-15-7839,Medium
848-62-7243,Medium
540-11-4336,Medium
609-81-8548,Medium
151-27-8496,Medium
256-08-8343,Medium
880-35-0356,Medium
149-14-0304,Medium
801-88-0346,Medium
542-41-0513,Medium
857-67-9057,Medium
284-34-9626,Medium
809-46-1866,Medium
365-64-0515,Medium
655-07-2265,Medium
888-02-0338,Medium
110-05-6330,Medium
190-59-3964,Medium
728-47-9078,Medium
124-31-1458,Medium
307-83-9164,Medium
182-88-2763,Medium
531-56-4728,Medium
777-82-7220,Medium
458-61-0011,Medium
133-77-3154,Medium
584-86-7256,Medium
541-89-9860,Medium
324-41-6833,Medium
565-67-6697,Medium
195-06-0432,Medium
866-05-7563,Medium
360-39-5055,Medium
864-24-7918,Medium
793-10-3222,Medium
740-11-5257,Medium
826-58-8051,Medium
712-39-0363,Medium
217-58-1179,Medium
636-17-0325,Medium
307-85-2293,Medium
574-80-1489,Medium
382-25-8917,Medium
740-22-2500,Medium
345-68-9016,Medium
288-38-3758,Medium
449-16-6770,Medium
470-32-9057,Medium
797-88-0493,Medium
592-46-1692,Medium
235-06-8510,Medium
539-21-7227,Medium
852-82-2749,Medium
448-34-8700,Medium
875-46-5808,Medium
238-49-0436,Medium
342-65-4817,Medium
211-05-0490,Medium
440-59-5691,Medium
641-96-3695,Medium
371-85-5789,Medium
380-94-4661,Medium
468-88-0009,Medium
568-90-5112,Medium
562-12-5430,Medium
549-59-1358,Medium
720-72-2436,Medium
343-61-3544,Medium
670-71-7306,Medium
882-40-4577,Medium
556-41-6224,Medium
597-78-7908,Medium
316-01-3952,Medium
832-51-6761,Medium
239-36-3640,Medium
824-88-3614,Medium
425-85-2085,Medium
400-80-4065,Medium
725-32-9708,Medium
235-46-8343,Medium
131-70-8179,Medium
430-02-3888,Medium
191-10-6171,Medium
458-41-1477,Medium
593-65-1552,Medium
302-15-2162,Medium
789-23-8625,Medium
689-16-9784,Medium
804-38-3935,Medium
286-01-5402,Medium
144-51-6085,Medium
886-18-2897,Medium
319-74-2561,Medium
409-49-6995,Medium
427-45-9297,Medium
189-08-9157,Medium
263-87-5680,Medium
785-96-0615,Medium
408-66-6712,Medium
847-38-7188,Medium
585-11-6748,Medium
364-34-2972,Medium
130-67-4723,Medium
308-81-0538,Medium
210-67-5886,Medium
647-50-1224,Medium
274-05-5470,Medium
269-04-5750,Medium
326-71-2155,Medium
695-09-5146,Medium
370-96-0655,Medium
846-10-0341,Medium
420-04-7590,Medium
459-45-2396,Medium
221-25-5073,Medium
153-58-4872,Medium
558-60-5016,Medium
685-64-1609,Medium
728-88-7867,Medium
853-23-2453,Medium
811-35-1094,Medium
827-26-2100,Medium
588-01-7461,Medium
291-21-5991,Medium
796-32-9050,Medium
434-83-9547,Medium
563-91-7120,Medium
220-68-6701,Medium
799-71-1548,Medium
443-82-0585,Medium
129-29-8530,Medium
118-62-1812,Medium
146-09-5432,Medium
608-27-6295,Medium
843-01-4703,Medium
727-17-0390,Medium
477-59-2456,Medium
374-38-5555,Medium
460-93-5834,Medium
311-13-6971,Medium
101-17-6199,Medium
787-56-0757,Medium
676-39-6028,Medium
246-55-6923,Medium
725-56-0833,Medium
631-41-3108,Medium
815-04-6282,Medium
834-25-9262,Medium
810-60-6344,Medium
642-30-6693,Medium
246-11-3901,Medium
895-03-6665,Medium
289-15-7034,Medium
257-73-1380,Medium
490-95-0021,Medium
498-41-1961,Medium
803-83-5989,Medium
422-29-8786,Medium
563-47-4072,Medium
566-19-5475,Medium
741-73-3559,Medium
598-47-9715,Medium
149-15-7606,Medium
783-09-1637,Medium
134-54-4720,Medium
283-79-9594,Medium
505-02-0892,Medium
244-08-0162,Medium
701-69-8742,Medium
500-02-2261,Medium
633-44-8566,Medium
894-41-5205,Medium
234-36-2483,Medium
692-27-8933,Medium
509-29-3912,Medium
212-62-1842,Medium
249-42-3782,Medium
662-47-5456,Medium
725-67-2480,Medium
468-99-7231,Medium
731-14-2199,Medium
889-04-9723,Medium
397-25-8725,Medium
420-11-4919,Medium
533-66-5566,Medium
600-38-9738,Medium
834-61-8124,Medium
484-22-8230,Medium
608-96-3517,Medium
198-84-7132,Medium
299-29-0180,Medium
775-72-1988,Medium
493-65-6248,Medium
630-74-5166,Medium
269-10-8440,Medium
658-66-3967,Medium
603-07-0961,Medium
632-90-0281,Medium
559-98-9873,High
132-32-9879,High
719-76-3868,High
369-82-2676,High
173-82-9529,High
534-53-3526,High
749-81-8133,High
501-61-1753,High
595-27-4851,High
530-90-9855,High
376-56-3573,High
707-32-7409,High
362-58-8315,High
115-99-4379,High
711-31-1234,High
566-71-1091,High
869-11-3082,High
374-17-3652,High
266-20-6657,High
595-86-2894,High
726-27-2396,High
210-74-9613,High
778-34-2523,High
733-29-1227,High
276-54-0879,High
433-75-6987,High
200-40-6154,High
213-32-1216,High
183-56-6882,High
548-46-9322,High
659-36-1684,High
316-55-4634,High
139-20-0155,High
380-60-5336,High
377-79-7592,High
472-15-9636,High
503-07-0930,High
709-58-4068,High
834-83-1826,High
522-57-8364,High
420-18-8989,High
497-37-6538,High
355-53-5943,High
354-25-5821,High
851-98-3555,High
732-94-0499,High
389-70-2397,High
845-51-0542,High
123-35-4896,High
227-03-5010,High
730-70-9830,High
778-89-7974,High
109-86-4363,High
781-84-8059,High
499-27-7781,High
316-66-3011,High
426-39-2418,High
550-84-8664,High
300-71-4605,High
252-56-2699,High
405-31-3305,High
401-09-4232,High
468-01-2051,High
765-26-6951,High
327-40-9673,High
800-09-8606,High
333-73-7901,High
462-67-9126,High
828-61-5674,High
840-19-2096,High
263-10-3913,High
759-29-9521,High
145-94-9061,High
407-63-8975,High
760-90-2357,High
361-85-2571,High
225-32-0908,High
891-01-7034,High
752-23-3760,High
458-10-8612,High
130-98-8941,High
268-27-6179,High
577-34-7579,High
841-35-6630,High
811-03-8790,High
719-89-8991,High
102-77-2261,High
809-69-9497,High
318-68-5053,High
782-95-9291,High
142-63-6033,High
122-61-9553,High
114-35-5271,High
607-76-6216,High
123-19-1176,High
325-90-8763,High
239-10-7476,High
871-79-8483,High
744-02-5987,High
704-11-6354,High
474-33-8305,High
372-62-5264,High
201-63-8275,High
532-59-7201,High
160-22-2687,High
656-95-9349,High
626-43-7888,High
667-23-5919,High
786-94-2700,High
416-13-5917,High
105-31-1824,High
394-41-0748,High
689-05-1884,High
483-71-1164,High
582-52-8065,High
534-01-4457,High
624-01-8356,High
718-57-9773,High
347-34-2234,High
733-01-9107,High
552-44-5977,High
868-52-7573,High
815-11-1168,High
451-28-5717,High
857-16-3520,High
767-05-1286,High
186-79-9562,High
862-17-9201,High
411-77-0180,High
721-86-6247,High
227-78-1148,High
370-41-7321,High
336-78-2147,High
785-13-7708,High
410-67-1709,High
196-01-2849,High
408-26-9866,High
241-72-9525,High
157-13-5295,High
404-91-5964,High
154-87-7367,High
750-67-8428,High
645-44-1170,High
308-47-4913,High
210-57-1719,High
590-83-4591,High
358-88-9262,High
541-08-3113,High
866-70-2814,High
438-23-1242,High
166-19-2553,High
873-95-4984,High
862-59-8517,High
466-61-5506,High
827-44-5872,High
878-30-2331,High
272-65-1806,High
663-86-9076,High
541-48-8554,High
802-70-5316,High
433-08-7822,High
241-11-2261,High
660-29-7083,High
423-57-2993,High
136-08-6195,High
588-47-8641,High
299-46-1805,High
386-27-7606,High
314-23-4520,High
339-96-8318,High
262-47-2794,High
886-77-9084,High
152-08-9985,High
406-46-7107,High
575-30-8091,High
131-15-8856,High
730-50-9884,High
731-59-7531,High
887-42-0517,High
109-28-2512,High
137-63-5492,High
648-94-3045,High
651-88-7328,High
828-46-6863,High
125-45-2293,High
870-72-4431,High
379-17-6588,High
699-14-3026,High
477-24-6490,High
667-92-0055,High
725-54-0677,High
641-62-7288,High
672-51-8681,High
759-98-4285,High
430-53-4718,High
373-73-7910,High
305-18-3552,High
632-32-4574,High
452-04-8808,High
849-09-3807,High
796-12-2025,High
189-55-2313,High
836-82-5858,High
868-06-0466,High
394-55-6384,High
347-72-6115,High
648-83-1321,High
326-78-5178,High
149-61-1929,High
400-89-4171,High
612-36-5536,High
263-12-5321,High
222-42-0244,High
538-22-0304,High
457-13-1708,High
668-90-8900,High
845-94-6841,High
489-82-1237,High
670-79-6321,High
430-60-3493,High
188-55-0967,High
743-88-1662,High
616-87-0016,High
640-49-2076,High
287-21-9091,High
443-59-0061,High
189-40-5216,High
850-41-9669,High
831-81-6575,High
587-03-7455,High
338-65-2210,High
399-46-5918,High
898-04-2717,High
253-12-6086,High
435-13-4908,High
710-46-4433,High
189-52-0236,High
174-64-0215,High
627-95-3243,High
183-21-3799,High
148-41-7930,High
135-84-8019,High
149-71-6266,High
189-98-2939,High
394-30-3170,High
155-45-3814,High
537-72-0426,High
803-17-8013,High
829-34-3910,High
725-96-3778,High
635-40-6220,High
448-61-3783,High
525-09-8450,High
817-48-8732,High
729-06-2010,High
361-59-0574,High
237-01-6122,High
742-04-5161,High
234-03-4040,High
197-77-7132,High
884-80-6021,High
315-22-5665,High
416-17-9926,High
453-33-6436,High
243-55-8457,High
571-94-0759,High
746-94-0204,High
376-02-8238,High
305-14-0245,High
605-72-4132,High
418-02-5978,High
549-03-9315,High
593-14-4239,High
602-16-6955,High
880-46-5796,High
842-40-8179,High
373-09-4567,High
652-43-6591,High
227-07-4446,High
829-49-1914,High
232-11-3025,High
228-96-1411,High
735-32-9839,High
286-43-6208,High
457-94-0464,High
699-88-1972,High
533-33-5337,High
431-66-2305,High
640-48-5028,High
638-60-7125,High
138-17-5109,High
549-84-7482,High
698-98-5964,High
678-79-0726,High
607-65-2441,High
861-77-0145,High
267-62-7380,High
628-90-8624,High
574-22-5561,High
852-62-7105,High
677-11-0152,High
805-86-0265,High
450-42-3339,High
746-04-1077,High
641-51-2661,High
743-04-1105,High
139-32-4183,High
766-85-7061,High
827-77-7633,High
704-48-3927,High
384-59-6655,High
277-35-5865,High
866-99-7614,High
751-69-0068,High
393-65-2792,High
817-69-8206,High
731-81-9469,High
702-83-5291,High
219-22-9386,High
280-17-4359,High
325-77-6186,High
554-42-2417,High
234-65-2137,High
271-88-8734,High
744-16-7898,High
303-96-2227,High
751-41-9720,High
283-26-5248,High
687-47-8271,High
860-79-0874,High
